Order Date,Sales,Profit,Quantity
2011-01-31,13946.229000000001,2446.7711,282
2011-02-28,4810.558,865.728,161
2011-03-31,55691.009,498.7298999999999,585
2011-04-30,28295.345,3488.8352,536
2011-05-31,23648.287,2738.7096,466
2011-06-30,34595.1276,4976.5244,521
2011-07-31,33946.393,-841.4826,550
2011-08-31,27909.4685,5318.105,609
2011-09-30,81777.3508,8328.0994,1000
2011-10-31,31453.393,3448.2573,573
2011-11-30,78628.7167,9292.1269,1219
2011-12-31,69545.6205,8983.5699,1079
2012-01-31,18174.0756,-3281.007,236
2012-02-29,12210.867,2821.2762000000002,248
2012-03-31,38466.796,9724.672400000001,506
2012-04-30,34195.2085,4187.4962,543
2012-05-31,30131.6865,4667.869,575
2012-06-30,24797.292,3335.5572,486
2012-07-31,28765.325,3288.6483,557
2012-08-31,36898.3322,5355.8084,598
2012-09-30,64595.918,8209.162699999999,1086
2012-10-31,31404.9235,2817.366,631
2012-11-30,75972.5635,12474.7884,1310
2012-12-31,74919.5212,8016.965899999999,1203
2013-01-31,18542.490999999998,2824.8233,358
2013-02-28,22867.711,4996.2467,299
2013-03-31,51186.217000000004,3625.2715000000003,575
2013-04-30,39248.593,2957.8446,634
2013-05-31,56691.077,8627.4764,854
2013-06-30,39430.443,4499.5845,746
2013-07-31,38440.755,4464.6602,756
2013-08-31,33265.5643,2328.3534,710
2013-09-30,72908.1089,9360.491,1311
2013-10-31,56463.13,15763.379700000001,740
2013-11-30,82192.3228,4376.069399999999,1423
2013-12-31,97237.417,17902.7301,1404
2014-01-31,44703.142,7208.6826,624
2014-02-28,20283.5134,1605.6478,360
2014-03-31,53908.962,12957.8999,825
2014-04-30,40112.4209,2803.6308,728
2014-05-31,45651.2362,6274.4578,955
2014-06-30,48259.7487,8087.6684,891
2014-07-31,48428.365,6623.5571,842
2014-08-31,61516.085999999996,8894.4486,879
2014-09-30,90488.722,11395.439400000001,1676
2014-10-31,77793.7552,9440.6608,1151
2014-11-30,112326.471,9682.5519,1789
2014-12-31,90474.6008,8532.868,1783
